file,case,set,label
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_58.jpg,86,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_372_99.jpg,372,Validation,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_107.jpg,86,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_92_174.jpg,92,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_76.jpg,86,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_57_5.jpg,57,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_181_77.jpg,181,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_140_33.jpg,140,Validation,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_191_124.jpg,191,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_191_90.jpg,191,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_176_134.jpg,176,Validation,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_247_140.jpg,247,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_122_6.jpg,122,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_198_54.jpg,198,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_42.jpg,86,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_30_44.jpg,30,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_92_216.jpg,92,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_176_113.jpg,176,Validation,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_372_43.jpg,372,Validation,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_269_76.jpg,269,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_350_44.jpg,350,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_350_30.jpg,350,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_151.jpg,86,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_350_118.jpg,350,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_350_145.jpg,350,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_92_211.jpg,92,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_92_127.jpg,92,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_198_46.jpg,198,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_381_50.jpg,381,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_269_106.jpg,269,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_30_5.jpg,30,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_30_95.jpg,30,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_198_59.jpg,198,Train,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_92_265.jpg,92,Test,0
data/tiles/nontumor_skin_necrosis_necrosis/nontumor_skin_necrosis_necrosis_ws_86_105.jpg,86,Train,0
